sig_ident,sig_nom_normalise,sig_num_dl,sig_pdc_perfo,sig_source_tg,sig_type_tg,sig_code_cell_am,sig_code_cell_av,sig_tag_tg,sig_commune,sig_nom_sig,sig_type_pdc,sig_statut_mes,sig_type_telegestion,sig_type_compteur,sig_marque_compteur,sig_modele_compteur,sig_marque_datalogger,sig_modele_datalogger,sig_geometry_wkt,sig_gps_x,sig_gps_y
CPT-2804,MALMEDY MONT R DEP,DL2907,O,MalmedyMont_R_CM_FT003.F.PV,TGW,55302947,S00201501-B01,MalmedyMont_R_CM_FT003.F.PV,MALMEDY,MALMEDY MONT R DEP,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (769418.9892000034 630769.5557000004 0 nan),6.051226292930562,50.47542519784881
CPT-2809,MALMEDY ST QUIRIN ZONING,DL2971,O,DL2971_1,TRD,55302936,55302953,MALMEDY_CM_FT018,MALMEDY,MALMEDY ST QUIRIN ZONING,Distribution,A L ARRET,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (767505.7779000029 625095.9717000015 0 nan),6.022489050152193,50.42481925358603
CPT-2879,VIELSALM HESTREUX R ARR D1,DL3646,O,Hestreux_ST_CM_FT001.F.PV,TGW,S00229301-B01,55/8/3/001,Hestreux_ST_CM_FT001.F.PV,VIELSALM,VIELSALM HESTREUX ST ARR D1,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (755499.8444999978 605620.4521000013 0 nan),5.8480661444852995,50.252054923842344
CPT-2881,VIELSALM HESTREUX R DEP,DL0189,O,Hestreux_ST_CM_FT003.F.PV,TGW,55102846,S00229301-B01,Hestreux_ST_CM_FT003.F.PV,VIELSALM,VIELSALM HESTREUX ST DEP,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (755500.2040000036 605624.8621000014 0 nan),5.848072424258769,50.252094499550644
CPT-2924,MANHAY VAUX CHAVANNE R IN,DL6441,O,DL5110_3,TRD,S00203202-B01,42500638,MANHAY_CM_FT004,MANHAY,MANHAY VAUX CHAVANNE R IN,Production,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000CT,SOFREL,DL4W-S,POINT ZM (745239.1489999965 610498.2833000012 0 nan),5.705453392777873,50.297662442673726
CPT-2955,MALMEDY WARCHENNE R DEP VAL D ARIMONT,DL4974,O,DL4974_1,TRD,55300501,50/6/2/006,MALMEDY_CM_FT045,MALMEDY,MALMEDY WARCHENNE R OUT,Production,EN SERVICE,TRD,COMPTEUR,DIEHL METERING,INCONNU,SOFREL,DL4W-S,POINT ZM (770865.8518000022 625329.9272000007 0 nan),6.0698391901967765,50.42623580816844
CPT-2956,MALMEDY ARIMONT VERS ARIMONT,DL2964,O,DL2964_1,TRD,55302930,S00198801-B02,MALMEDY_CM_FT028,MALMEDY,MALMEDY ARIMONT VERS ARIMONT,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (770853.5019000024 623548.9560000002 0 nan),6.069088290623075,50.41023096411663
CPT-2991,MALMEDY PONT DE WARCHE CV GRAND,DL6865,O,PontWarche_CV_CM_FT001.F.PV,TGW,55302953,42500524,PontWarche_CV_CM_FT001.F.PV,MALMEDY,MALMEDY PONT DE WARCHE CV GRAND,Adduction,EN SERVICE,TGW,DEBITMETRE,,,,,POINT ZM (766171.4751999974 624311.7642999999 0 nan),6.003471434903766,50.418037820791184
CPT-2996,MALMEDY COMBES R ARR STAVELOT RIVAGE HAUT R,DL4965,O,LesCombes_SP_CM_FT001.F.PV,TGW,S00199901-B01,42500528,LesCombes_SP_CM_FT001.F.PV,MALMEDY,MALMEDY COMBES R ARR RIVAGE HAUT R,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (764787.8625999987 625999.5108999982 0 nan),5.98452688281096,50.43348149738871
CPT-2997,MALMEDY COMBES GRAV,DL2935,O,LesCombes_SP_CM_FT003.F.PV,TGW,55302926,S00199901-B01,LesCombes_SP_CM_FT003.F.PV,MALMEDY,MALMEDY COMBES R DEP GRAV,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (764783.0732999966 625993.9002999999 0 nan),5.984457757640007,50.433432010435155
CPT-3032,LIERNEUX FANGE COLAS SP DEP DEVANT LE BOIS,DL3768,O,FangeColas_SP_CM_FT002.F.PV,TGW,55102966,S00196901-B01,FangeColas_SP_CM_FT002.F.PV,LIERNEUX,LIERNEUX FANGE COLAS SP DEP DEVANT LE BOIS,Production,EN SERVICE,TGW,DEBITMETRE,,INCONNU,,,POINT ZM (754943.8797999993 611698.9809999987 0 nan),5.841973861075736,50.30679337779136
