sig_num_sap,sig_nom_bapteme,sig_capacite_totale,sig_cote_sol,sig_proprietaire,sig_gestionnaire,sig_annee_pose,indice_position,cellule_subnet,code_fonction,commentaire,centre_exploit,commune,adresse,precloca,coord_x,coord_y,gps_lat,gps_long,diponibilite,derctrl,proctrl,decompte,diamtre_trap,entreprise,entreprise_autre,implantation,acces,largeur,longueur,hauteur,alim_elec,mm_lien,stationnement,zf_nom,zone_delestage,ident,objectid,revetement,valide,nature,diam_nom,materiau,calorifuge
S00193601-B02,001936-B02,45,380.034,1014,1014,1900,3,,H,,,63038,,,759834.8609145,633248.04597176,50.49955376,5.91692428,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={7ed24d2d-11ac-4df6-80d6-1940df90a5a2},,8,,BAT-1340,1340,X,,,,,
S00193601-B01,001936-B01,,,1014,1014,1900,5,,,,,63038,,,759840.8944411,633242.434975,50.49953285,5.91704315,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={48c5f9c6-ce9c-4bad-97a1-013a9f0d845b},,8,,BAT-1341,1341,X,,,,,
S00195701-B01,S00195701-B01,110,380,1014,1014,1900,2,,JR,,,63038,,,759489.47617139,635266.83885956,50.51775896,5.91269917,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={1592bc7e-f21a-45cc-8be6-357d756338d0},,8,,BAT-1342,1342,X,2025-03-11T00:00:00,,,,
S00195101-B01,S00195101-B01,17,263,1014,1014,1900,3,,H,,,63038,,,757509.81406996,637395.61944669,50.53728354,5.88539224,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={6fc71196-4191-44b4-8da6-e0e2def4424a},,8,,BAT-1343,1343,X,,,,,
S00195601-B01,001956-B01,2,385,1014,1014,1900,3,,H,,,63038,,,761145.27133882,639812.89917583,50.55832474,5.93740273,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={0375335e-2014-4fd9-8361-fbe582e35c39},,8,,BAT-1344,1344,X,,,,,
S00194001-B01,001940-B02,140,,1014,1014,1900,3,,H,,,63038,,,762502.08941412,634055.86315392,50.5062921,5.95475398,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={a34adffd-0423-4359-a51d-041c3a74e2a0},,10,,BAT-1345,1345,X,,,,,
S00194001-B02,001940-B01,,,1014,1014,1900,5,,,,,63038,,,762481.0034,634067.81065,50.50644801,5.95449834,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={3312526d-1c33-490e-850d-529c8e5b7cd0},,10,,BAT-1346,1346,X,,,,,
S00194701-B01,S00194701-B01,50,372.5,1014,1014,1900,3,,JH,,,63038,,,759017.82764695,632644.86822528,50.49427713,5.90529875,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={92e597f6-9dcd-4b92-8534-af4c79383c9e},,8,,BAT-1347,1347,X,2024-06-04T00:00:00,,,,
S00195401-B01,001954-B01,1,318.644,1014,1014,1900,3,,H,,,63038,,,757374.67455,636424.1808,50.52858193,5.88322279,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={286303d7-b6b1-4188-b21a-f51e01e9b1e6},,8,,BAT-1348,1348,X,,,,,
S00193702-B01,001937-B02,,,1014,1014,1900,5,,,,,63038,,,763820.67565,634459.98405,50.50971168,5.97349805,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={706062b2-07a3-433c-998e-f997764e643f},,8,,BAT-1349,1349,X,,,,,
