objectid,type,code_eunis,travauxbiodivdebut,travauxbiodivfin,ident,ventesdebois,commune,num_sap,nom_sap,num_sap_anc,fiabilite,statut,observation,proprietaire,gestionnaire,natura2000code,natura2000nom,nom_agent_n2000,tel_agent_n2000,canton_dnf,triage_dnf,tel_canton_dnf,agent_dnf,tel_agent_dnf,gps_lat,gps_long,symbo,gestiondiff,complet,travauxbiodiversite,regime_forestier,tonte,fauchage_cla,fauchage_tar,haie,surface_etan,debrousaillement,plandeau,desherbage,demoussage,clotureconf1,cloturenconf1,portailconf,clotureconf2,clotureconf3,portailnconf,cloturenconf2,cloturenconf3,plantation,fosseterre,fossebeton,caniveau,avaloir,panneaupv,refplan,debroussaillement_tar,plandeautechnique,degagementcloture,deneigement,salage,mm_lien
19342,PPR,,,,TER-257,,Fosses-la-Ville,S00137301,CLAMINFORGE,001373-T01,5,regul,,,,,,,,NAM,SAMBREVILLE,,,,,,PPR_autre,,,,,,,,,,16.25,,,50,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={824955EF-96A9-4CAF-9711-F03EB2584758}
19344,PPR,,,,TER-259,,Profondeville,001671-T03,ARBRE UP T P2 LESVE,,5,regul,,,,,,,,NAM,PROFONDEVILLE,,,,,,PPR_autre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={EAA4D4DC-5F6D-4AC5-A158-ADCF8CE58B8C}
19345,PPR,,,,TER-260,,Namur,S00171804,WÉPION LT CE250 JONCS,,5,regul,,,,,,,,NAM,LA VECQUÉE,,,,,,PPR_autre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={5820DEB9-B4BC-488C-922F-AC047C6D2F57}
19348,PPR,,,,TER-263,,Profondeville,S00171302,LUSTIN LT R50+SP MONTY,001713-T02,5,regul,,,,,,,,NAM,ASSESSE,,,,,,PPR_autre,,,,,200,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={B4C983DA-7A60-4D5A-BF4E-19915DF1508A}
19351,PPR,,,,TER-266,,Namur,001670-T02,FLAWNÉES UP T R25+HY NANINNE,001670-T02,5,regul,,,,,,,,NAM,NANINNE,,,,,,PPR_autre,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={E3CC37B2-DDD4-4381-8958-96B165DBA8CC}
19352,PPR,,,,TER-267,,Namur,S00166602,DAVE UP R50 DAVE HAUT,001666-T04,5,regul,,,,,,,,NAM,NANINNE,,,,,,PPR_autre,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={72FBC025-C826-4720-89F1-F5DED0E54417}
19354,PPR,,,,TER-269,,Floreffe,S00171806,WÉPION LT R50 LE PIROY,001718-T06,5,regul,,,,,,,,NAM,SOYE,,,,,,PPR_autre,,,,,1822,,,,,,,,544,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={5377429B-5D68-4B15-8639-4B2016FB0566}
19356,PPR,,,,TER-271,,Namur,001669-T02,ROCHETTES UP T R125+ST PRINCIPAL,001669-T02,5,regul,,,,,,,,NAM,NANINNE,,,,,,PPR_autre,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={A2CF0C5A-65E9-43D3-AE5D-6F6DF742168C}
19359,PPR,,,,TER-274,,Namur,001718-T05,WÉPION LT T CE200 CAMPS,001718-T05,5,regul,,,,,,,,NAM,LA VECQUÉE,,,,,,PPR_autre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={8F5E8588-5591-4666-8F46-663C0BAE7478}
19363,PPR,,,,TER-278,,Namur,S00171802,WÉPION LT R 200+SP BRIMEZ,001718-T03,5,regul,,,,,,,,NAM,LA VECQUÉE,,,,,,PPR_autre,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={DA94B9D5-0FDA-44CE-A5D6-F613C0F47796}
