objectid,cellule_id,cellule_nom,ilf,longueur,cellule_type,racc_nbr,delestage,commentaire,zde_code,prelevement,debit_correctif,debit_nuit_ref,indice_criticite,zf_nom,adduction,secteur,cellule_color,Projet,lng_km,ilp_calc,Type_Cell
3867,42500517,ADD BARONHEID R100 VERS STER FRANCORCHAMPS RT100,2.5,3028.40302455,ADD,0,,,1088,,,,1,FAGNES,,,FUSHIA_P,Cellule Adduction,3.0284030245499998,0,Rural
3869,42500628,ADD WAIMES SOURBRODT PUITS COMMUNAL,2.5,840.80212598,ADD,0,,,1070,,,,1,FAGNES,,,ORANGE_P,Cellule Adduction,0.84080212598,0,Rural
3873,42500532,ADD MALMEDY WINBORU R VERS AV MONBIJOU QM,2.5,3528.24827315,ADD,0,,,17825,,,,1,FAGNES,,,JAUNE_P,Cellule Adduction,3.52824827315,0,Rural
3887,S00232101-B01,WAIMES ROBERT LAC B SP ST G R,,28.58869059,OUV,0,,,1070,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.02858869059,0,Rural
3888,S00196901-B01,LIERNEUX FANGE COLAS B R37+H,,23.44302889,OUV,0,,,1039,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.023443028890000002,0,Rural
3907,42500528,ADD STAVELOT RIVAGE HAUT R VERS MALMEDY COMBES R,2.5,1681.51422672,ADD,0,,,1088,,,,1,FAGNES,,,VERT_P,Cellule Adduction,1.6815142267199998,0,Rural
3908,42500529,ADD MALMEDY CHODES SP VERS CROIX DE CHODES R,2.5,1463.68622574,ADD,0,,,17825,,,,1,FAGNES,,,ORANGE_P,Cellule Adduction,1.46368622574,0,Rural
3941,S00231701-B03,WAIMES BOTRANGE B H R100 SUP,,112.68743472,OUV,0,,,1070,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.11268743472,0,Rural
4018,42500638,ADD MANHAY ACHAT AC VERS VAUX CHAVANNE R,2.5,185.7250581,ADD,0,,,1018,,,,1,FAGNES,,,FUSHIA_P,Cellule Adduction,0.1857250581,0,Rural
4038,003005-B01,JALHAY VECQUEE R5000,,93.79820924,OUV,0,,,1088,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.09379820924,0,Rural
4039,S00216101-B01,STAVELOT BARONHEID B R100,,91.80130671,OUV,0,,,1088,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.09180130671,0,Rural
4057,42500549,ADD STAVELOT DRAIN ALIMENTATION HOUVEGNEZ,2.5,989.12629704,ADD,0,,,1078,,,,1,FAGNES,,,JAUNE_P,Cellule Adduction,0.9891262970400001,0,Rural
4070,42500588,ADD VIELSALM FARNIERES R10 VERS ST,2.5,427.40833861,ADD,0,,,16665,,,,1,FAGNES,,,FUSHIA_P,Cellule Adduction,0.42740833861,0,Rural
4071,42500545,ADD LIERNEUX ARBREFONTAINE R VERS FANGES COLAS R,2.5,487.74833543,ADD,0,,,1039,,,,1,FAGNES,,,ORANGE_P,Cellule Adduction,0.48774833543,0,Rural
4072,42500504,ADD MANHAY POUR VAUX CHAVANNE ET BRA LIERNEUX,2.5,656.8431974,ADD,0,,,1018,,,,1,FAGNES,,,CYAN_P,Cellule Adduction,0.6568431974,0,Rural
4089,42500574,ADD VIELSALM WEZ DES POURCEAUX R75 VERS RESEAU,2.5,1053.216717,ADD,0,,,16677,,,,1,FAGNES,,,VERT_P,Cellule Adduction,1.053216717,0,Rural
4093,42500523,PRISE ADD VERS HAUTE LEVEE R STAVELOT,2.5,1890.62800382,ADD,0,,,1088,,,,1,FAGNES,,,FUSHIA_P,Cellule Adduction,1.89062800382,0,Rural
